icd,Latin
Q82,F-XP
Q82,G-XP
Q82,B-XP
E75,et DG
Q82,A-XP
Q82,-C XP
Q82,D-XP
Q82,E-XP
A66,Bouba
E76,MPSVI
L93,lupus
I49,Sunds
G72,HOKPP
E77,MANSB
E31,MEN2A
D44,MEN2A
I83,VARIX
Q87,SGBS1
C91,HCL-C
Q71,SHFM6
E31,MEN2B
D44,MEN2B
Q78,CAEND
E28,PCOS1
Q77,PSACH
B19,NANBH
Q13,ASGD1
A77,Choix
F84,aspie
G60,COWCK
E75,PLOSL
G23,NBIA3
Q20,d-TGA
E31,XLAAD
G93,CFIDS
R53,CFIDS
Q18,AGOTC
Q87,AGOTC
E71,MCADD
Q43,GIDID
Q82,GIDID
C56,MOGCT
Q61,Arpkd
Q61,Pkhd1
Q14,Xlrs1
Q20,C-TGA
Q87,TRPS2
E85,TRAPS
G12,PDALS
Q87,MNKES
G11,SPG20
M21,BRKS1
Q87,GOSHS
E85,NOMID
D48,HNPCC
M27,GCLSB
L72,MRTES
P78,DIAR2
Q61,SLSN1
C34,NSCLC
M12,TSGCT
D75,ECYT2
Q87,OCACS
G11,SCA31
Q87,MFDGA
M34,lcSSc
H50,kreol
L60,NDNC1
G71,MYPCN
G11,SCAR7
G60,Hmsn5
G11,LIKNS
Q87,OFD10
D55,HNSHA
E88,BSCL4
Q71,SHFM3
Q71,SHFM1
Q71,SHFD1
Q71,SHFM2
L50,FCAS4
E74,GSD9D
E74,GSD9B
E74,GSD9A
E74,GSD9C
H18,CHED2
D81,BLSII
H18,GCDII
M11,PHPTC
N04,FSGS1
N04,FSGS2
N04,FSGS5
N04,FSGS6
N04,FSGS7
N04,FSGS8
N04,FSGS9
E88,BSCL1
E88,BSCL3
H18,CDGDL
G11,CAMRQ
Q87,OFD11
I42,ARVD9
I42,ARVC9
Q77,SRTD7
Q77,SRPS5
Q77,SRPS6
Q77,SRTD8
Q13,RIEG3
Q87,MOPD1
I42,ARVC2
I42,ARVD2
K00,AIGFS
I42,ARVD4
I42,ARVC4
I42,ARVC5
I42,ARVD5
I42,ARVD3
I42,ARVC3
I42,ARVC8
I42,ARVD8
I42,ARVC6
I42,ARVD6
E88,MMDS1
E88,MMDS2
G31,MMDS3
Q87,MRD25
G11,SPG23
E79,APRTD
C94,ANKCL
E20,PHP1A
G60,CMT2P
G60,CMT2Q
G60,CMT2Y
G60,CMT2U
G60,CMT2L
G60,CMT2S
G60,CMT2N
G60,CMT2V
G60,CMT2O
G60,CMT4K
G60,CMT2C
K00,AIHHT
K00,AI2A1
K00,AI2A3
K00,AI2A2
Q04,gamos
E77,mansa
C81,LRCHL
Q87,BBS13
Q87,BBS16
Q87,BBS17
Q87,BBS14
Q87,BBS15
Q87,BBS19
Q87,BBS18
H35,LCA15
Q12,CTAA1
Q12,CTPP5
Q12,CATC3
Q87,MRD18
G11,MRD19
Q87,MRD23
Q87,MRD21
F84,MRD26
G40,MRD31
Q87,HVDAS
Q87,MRD28
E03,CHNG2
E03,CHNG5
E03,CHNG4
E03,CHNG6
E03,CHNG1
E03,CHNG3
Q82,ADCL1
Q82,ADCL3
Q82,ADCL2
G60,HSAN7
G60,HSAN6
G60,HSAN2
G60,HSN1E
G60,CMT2J
G60,CMT2T
G60,CMT2I
G60,CMT2B
G60,CMT2F
G60,CMT2D
G60,CMT2R
G60,CMT2H
G60,CMT2E
Q12,CTAA2
Q12,CATC1
G11,Frda1
E72,CPS1D
K00,AI2A4
K00,AI2A5
D47,ALPS3
D47,CVID9
Q87,BBS12
Q87,BBS10
Q87,BBS11
E71,MGCA1
E71,MGCA7
E71,MGCA5
E71,MGCA6
E71,MGCA4
J84,RBILD
G12,DHMN6
G12,DSMA1
C81,MCCHL
Q12,CATC2
Q12,CATC5
Q12,CCSSO
Q87,BSTVS
Q77,SRTD4
Q77,SRTD5
Q77,SRPS1
Q77,SRPS3
Q77,SRTD3
Q77,SRTD6
Q13,RIEG1
Q13,RIEG2
H35,LCA16
G60,CMT1F
G60,CMT1D
G60,CMT1E
G60,CMT4C
G60,CMT4D
G60,HMSNL
G60,CMT4J
G60,CMT4A
Q84,NDNC7
P78,DIAR5
Q87,SRTD9
G60,CMTX6
G60,CMT6X
G60,CMT5X
G60,CMTX5
G60,CMTX3
G60,CMT3X
G60,CMTX2
G60,CMTX1
G60,CMT1X
G60,CMT4X
G60,CMTX4
G60,NADMR
G60,NAMSD
D80,HIGM3
D80,HIGM2
D80,HIGM5
